0.00706209,13680
0.436903,18372
0.462966,4908
0.466227,13044
0.53787,18792
0.568266,9384
0.57977,10476
0.632739,10164
0.819094,17364
0.868898,10212
1.09372,15360
1.17685,15336
1.21344,7908
1.32777,15660
1.38558,11952
1.51173,14820
1.58785,12252
1.76353,5712
1.85721,18096
1.96004,600
2.07247,8952
2.18728,10092
2.56775,20076
2.62264,12252
2.67473,15816
2.69814,5364
2.92849,756
2.9427,14316
3.30011,13368
3.53024,12084
3.70923,7464
3.92811,9360
4.09423,2184
4.23328,19332
4.36746,708
5.35328,17940
5.58036,2568
5.69286,19992
5.70788,12108
5.71836,5772
5.78456,2232
5.87449,8016
6.11855,6732
6.17706,10692
6.19882,6408
6.40393,11952
6.49908,21168
6.59207,17712
6.72849,15840
6.86118,288
6.99987,20964
7.12094,1992
7.20578,2160
7.33941,9468
7.60041,17124
7.68997,8844
7.76566,648
7.79443,4044
7.80314,15120
7.88278,10488
7.89916,20268
8.02393,11544
8.10969,16032
8.25872,18444
8.389,3156
9.01117,6504
9.06095,18960
9.3429,2616
9.46374,3564
9.7775,21504
9.86834,3624
10.0549,5040
10.3328,4116
10.5033,2424
10.6155,2544
11.1729,18936
11.5546,21204
12.6217,20064
12.7101,8304
12.7437,816
12.8355,17508
12.9908,11868
13.1299,3816
13.2025,18432
13.6119,9660
13.6396,4056
13.6596,13440
13.9222,10332
14.0257,19752
14.1141,3972
14.1945,16596
14.4833,10908
14.4947,5952
14.8649,5616
15.0696,14184
15.487,9204
15.4901,13908
15.578,6864
15.5811,15384
15.7266,2796
15.8734,17016
15.9182,19176
16.1627,19524
16.1979,2400
16.2539,3708
16.3311,20016
16.4593,17172
16.5713,2928
16.7539,6696
16.7922,18096
16.8161,7464
16.8309,7824
16.8765,408
17.0298,7632
17.1199,2736
17.2241,4992
17.2735,10416
17.2743,3744
17.4422,1092
17.646,4188
17.7222,7932
17.8559,5676
17.9403,19824
18.284,288
18.2933,18192
18.328,2928
18.3496,16716
18.4964,17796
18.7993,18108
18.9665,8088
19.3217,14160
19.4202,15672
19.4328,10092
19.925,132
19.9803,10404
20.2244,8424
20.286,9444
20.2992,19056
20.4987,9936
20.5,48
20.5284,9216
20.55,12
20.6422,16944
20.7978,7104
21.025,96
21.1329,8148
21.3149,3900
21.4919,1416
21.5137,8076
21.6324,8172
21.8243,14520
22.025,72
22.1778,6180
22.2047,15300
22.3,144
22.45,168
22.675,36
22.711,11820
22.8547,8964
22.863,12240
22.8687,9444
23,84
23.0037,8208
23.0313,17700
23.1873,4320
23.3234,17880
23.395,10032
23.4609,720
23.525,0
23.7371,3804
23.8943,17400
23.8971,20808
24.1992,12144
24.2693,2616
24.2765,1392
24.2883,1824
24.35,60
24.7264,18276
24.7661,4044
24.875,24
24.9449,6552
25.1267,15240
25.1278,900
25.2992,20784
25.3843,6300
25.4033,13008
25.725,204
25.7382,5520
25.7587,17148
25.772,7788
25.8853,15780
25.9754,6912
26.0712,19260
26.17,11940
26.2079,5844
26.2145,792
26.3107,10200
26.3504,7308
26.353,9108
26.5202,2064
26.5764,19992
26.8084,16344
27.0637,18588
27.1256,11232
27.225,192
27.4358,14208
27.4935,6636
27.6023,17892
27.8303,7716
27.8928,10632
28.1055,9240
28.2702,5772
28.275,156
28.3741,5640
28.464,9312
28.6514,15228
29.1113,17760
29.1605,6204
29.2653,20280
29.3706,10500
29.6281,9948
29.6432,20820
29.7053,6768
29.737,15192
29.7621,2952
29.7736,18912
30.0918,13092
30.1,252
30.45,240
30.4701,2016
30.4793,6960
30.4885,11400
30.5411,14328
30.5674,19032
30.6451,4776
30.65,180
30.675,16608
30.6942,11400
30.7781,17460
30.95,120
30.9917,17292
31.0098,9972
31.3302,12888
31.3875,18420
31.6584,12348
31.6938,5808
31.9296,4128
32.006,19320
32.1002,2148
32.124,1488
32.1295,1008
32.2627,7512
32.275,48
32.375,132
32.4121,4368
32.4473,10296
32.8767,552
33.1617,13092
33.1724,8820
33.2026,1728
33.2228,17124
33.2299,15228
33.2636,16728
33.5747,11724
33.6249,1344
33.6383,6696
33.7185,20088
33.8533,2964
34.0824,16140
34.0983,15024
34.3789,15540
34.475,12
34.6744,6612
34.85,96
35.4834,7644
36,108
36.2275,8472
36.2305,336
36.2551,9144
36.2964,10704
36.4,144
36.5183,9228
36.6148,11688
36.6392,18228
36.8056,7332
36.8576,10620
36.95,264
37,72
37.2981,372
37.3442,4368
37.9325,21324
38.148,12816
38.225,84
38.25,36
38.4174,6708
38.6287,14808
38.7017,1236
38.8878,7488
38.9724,11616
39.35,0
39.3581,17580
39.3888,16080
39.525,216
39.5436,19596
39.555,21120
39.575,252
39.6481,10716
39.6832,3720
39.6894,20028
39.7241,16488
40.0648,1236
40.3047,17844
40.3444,576
40.3998,11028
40.425,240
40.8159,5568
41.025,168
41.1997,10188
41.2225,10212
41.2979,9240
41.3378,9912
41.4093,15888
41.4237,2052
41.4974,360
41.622,15900
41.7085,15024
41.822,5292
41.9981,2436
42.0156,7476
42.5188,10296
42.6989,14916
42.7521,1224
42.7629,708
42.9133,17796
43.125,228
43.2841,15756
43.4195,300
43.456,11508
43.915,6516
43.9227,3960
44.0313,17820
44.1837,9300
44.2308,13752
44.3221,8796
44.4212,6432
44.5267,13800
44.7676,11556
44.7933,1860
