,syn,cluster,shared,pf_index
278,21,2,True,89
279,21,2,False,189
280,21,2,False,190
281,21,2,True,90
282,21,2,False,191
283,21,2,True,91
284,21,2,True,92
285,22,2,False,192
286,22,2,False,193
287,22,2,False,194
288,22,2,False,195
289,22,2,True,93
290,22,2,False,196
291,22,2,False,197
292,22,2,True,94
293,22,2,False,198
294,22,2,True,95
295,22,2,False,199
296,22,2,False,200
297,22,2,False,201
298,22,2,True,96
299,23,2,True,97
300,23,2,True,98
301,23,2,False,202
302,23,2,True,99
303,23,2,True,100
304,23,2,False,203
305,23,2,False,204
306,23,2,False,205
307,23,2,False,206
308,23,2,False,207
309,23,2,False,208
310,23,2,False,209
311,23,2,False,210
312,23,2,True,101
313,23,2,False,211
314,24,4,True,102
315,24,4,True,103
316,24,4,True,104
317,24,4,True,105
318,24,4,False,212
319,24,4,False,213
320,24,4,True,106
321,24,4,False,214
322,24,4,False,215
323,24,4,False,216
324,24,4,False,217
325,24,4,True,107
326,24,4,False,218
327,24,4,False,219
328,25,2,True,108
329,25,2,True,109
330,25,2,True,110
331,25,2,False,220
332,25,2,False,221
333,25,2,False,222
334,25,2,True,111
335,25,2,True,112
336,25,2,False,223
337,25,2,True,113
338,25,2,False,224
339,25,2,True,114
340,25,2,False,225
341,25,2,False,226
342,25,2,False,227
343,26,2,True,115
344,26,2,False,228
345,26,2,True,116
346,26,2,False,229
347,26,2,False,230
348,26,2,False,231
349,26,2,False,232
350,26,2,False,233
351,26,2,False,234
352,26,2,False,235
353,26,2,True,117
354,26,2,True,118
355,26,2,True,119
356,26,2,False,236
357,27,2,False,237
358,27,2,False,238
359,27,2,True,120
360,27,2,False,239
361,27,2,False,240
362,27,2,False,241
363,27,2,True,121
364,27,2,False,242
365,27,2,False,243
366,27,2,True,122
367,27,2,True,123
368,27,2,False,244
369,27,2,True,124
370,27,2,True,125
371,27,2,False,245
372,28,2,False,246
373,28,2,True,126
374,28,2,False,247
375,28,2,False,248
376,28,2,False,249
377,28,2,False,250
378,28,2,True,127
379,28,2,True,128
380,28,2,False,251
381,28,2,True,129
382,28,2,True,130
383,28,2,False,252
384,28,2,True,131
385,28,2,False,253
386,29,2,True,132
387,29,2,False,254
388,29,2,True,133
389,29,2,False,255
390,29,2,False,256
391,29,2,False,257
392,29,2,True,134
393,29,2,False,258
394,29,2,False,259
395,29,2,False,260
396,29,2,True,135
397,29,2,False,261
398,29,2,False,262
399,29,2,False,263
400,30,2,False,264
401,30,2,True,136
402,30,2,False,265
403,30,2,False,266
404,30,2,True,137
405,30,2,False,267
406,30,2,False,268
407,30,2,False,269
408,30,2,False,270
409,30,2,False,271
410,30,2,False,272
411,30,2,True,138
412,30,2,False,273
413,31,2,True,139
414,31,2,True,140
415,31,2,False,274
416,31,2,True,141
417,31,2,False,275
418,31,2,False,276
419,31,2,False,277
420,31,2,False,278
421,31,2,False,279
422,32,2,True,142
423,32,2,False,280
424,32,2,False,281
425,32,2,False,282
426,32,2,False,283
427,32,2,True,143
428,32,2,False,284
429,32,2,False,285
430,32,2,False,286
431,33,2,False,287
432,33,2,True,144
433,33,2,False,288
434,33,2,True,145
435,33,2,False,289
436,34,2,True,146
437,34,2,False,290
438,34,2,False,291
439,34,2,False,292
440,34,2,False,293
441,35,2,False,294
442,35,2,False,295
443,35,2,True,147
444,35,2,False,296
445,36,2,False,297
446,36,2,False,298
447,36,2,False,299
448,36,2,True,148
449,36,2,False,300
450,36,2,False,301
451,36,2,False,302
452,36,2,False,303
453,36,2,False,304
454,36,2,False,305
455,36,2,False,306
456,36,2,False,307
457,36,2,True,149
458,36,2,False,308
459,36,2,True,150
460,37,2,False,309
461,37,2,False,310
462,37,2,False,311
463,37,2,True,151
464,37,2,False,312
465,37,2,False,313
466,37,2,False,314
467,37,2,False,315
468,37,2,True,152
469,37,2,False,316
470,37,2,False,317
471,37,2,False,318
472,37,2,True,153
473,37,2,False,319
474,38,2,False,320
475,38,2,False,321
476,38,2,True,154
477,38,2,False,322
478,38,2,False,323
479,38,2,False,324
480,38,2,False,325
481,38,2,False,326
482,38,2,False,327
483,38,2,False,328
484,38,2,True,155
485,38,2,False,329
486,38,2,False,330
487,38,2,True,156
488,39,2,True,157
489,39,2,True,158
490,39,2,True,159
491,39,2,True,160
492,39,2,True,161
493,39,2,False,331
